FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed,censored
0,365,1114,98.27716140842848,236.18134209571105,0.1236243909565999,0.5823846542370719,83,0,829,0,829,-4.092853620532892e-07,0.074439461883408,0.0881409519358102,0.211821831475974,0,0,264,279,30,1.0,eqopt,14,False
97,98,3000,352.141087099563,864.0333840428598,0.1846859493963389,0.6453992509991717,1830,0,0,0,0,0.0,0.61,0.117380362366521,0.2880111280142866,0,0,0,0,60,1.0,static,0,True
98,315,3000,381.78321219537565,1152.5831605585313,0.1825319371014022,0.6822340858442454,2013,0,0,0,0,0.0,0.671,0.1272610707317918,0.3841943868528437,0,0,0,0,60,1.0,static,1,True
92,383,3000,333.07267187804257,900.5536227137152,0.1798206034666137,0.6269452915670738,1551,0,0,0,0,0.0,0.517,0.1110242239593475,0.3001845409045717,0,0,0,0,60,1.0,static,2,True
129,384,3000,376.68806239712126,1241.224027130777,0.18449470224972,0.7031751304449017,2012,0,0,0,0,0.0,0.6706666666666666,0.1255626874657071,0.4137413423769256,0,0,0,0,60,1.0,static,3,True
169,206,3000,337.62982765881804,862.8824198141011,0.1748156939998436,0.6176149162124284,1519,0,0,0,0,0.0,0.5063333333333333,0.1125432758862726,0.287627473271367,0,0,0,0,60,1.0,static,4,True
121,303,3000,357.610952569918,904.977075778746,0.1738437316025155,0.6351300893831473,1532,0,0,0,0,0.0,0.5106666666666667,0.1192036508566393,0.3016590252595819,0,0,0,0,60,1.0,static,5,True
170,268,3000,330.2508880395506,817.4868736547938,0.1469532393818734,0.6266525716638447,723,0,0,0,0,0.0,0.241,0.1100836293465168,0.2724956245515979,0,0,0,0,60,1.0,static,6,True
103,145,3000,374.7072435208239,971.7519206901044,0.1810521184853648,0.6698086441679719,1629,0,0,0,0,0.0,0.543,0.1249024145069413,0.3239173068967014,0,0,0,0,60,1.0,static,7,True
157,727,3000,342.59700433975587,1296.329509626228,0.169578788810163,0.7493442814015165,2624,0,0,0,0,0.0,0.8746666666666667,0.1141990014465852,0.4321098365420759,0,0,0,0,60,1.0,static,8,True
136,301,3000,322.1370578018732,1004.915585879524,0.1607478899040934,0.6530918585830275,1836,0,0,0,0,0.0,0.612,0.107379019267291,0.3349718619598413,0,0,0,0,60,1.0,static,9,True
107,235,3000,334.16681040932207,821.3525536779189,0.1717974815466849,0.6186730427179434,1524,0,0,0,0,0.0,0.508,0.1113889368031073,0.2737841845593063,0,0,0,0,60,1.0,static,10,True
95,281,3000,344.8789269180159,864.654558211181,0.1518655460644445,0.6497549127656533,994,0,0,0,0,0.0,0.3313333333333333,0.1149596423060053,0.2882181860703937,0,0,0,0,60,1.0,static,11,True
92,238,3000,349.47695044464405,864.1180096918497,0.1479813065563644,0.6378849803568486,963,0,0,0,0,0.0,0.321,0.1164923168148813,0.2880393365639499,0,0,0,0,60,1.0,static,12,True
129,467,3000,365.5359952090287,1301.5769824877138,0.1776380970031194,0.7354575240325574,2217,0,0,0,0,0.0,0.739,0.1218453317363428,0.4338589941625713,0,0,0,0,60,1.0,static,13,True
132,310,3000,314.9504473954124,750.1072476665446,0.1385379119606638,0.5616961042935155,512,0,0,0,0,0.0,0.1706666666666666,0.1049834824651374,0.2500357492221815,0,0,0,0,60,1.0,static,14,True
85,85,534,35.27520690866345,59.03318529103524,0.1020118548894989,0.6242017276953741,168,0,319,0,319,-2.079447149036597e-06,0.314018691588785,0.0659349661844176,0.1103424024131499,0,0,201,319,60,1.0,random,0,False
