FND,HND,LND,AUC_Psi,AUC_PsiN,Psi_max,Rh_mean,hole_events,partition_events,n_reconfigs,n_local,n_global,mean_dPsi_per_reconfig,hole_rate,AUC_Psi_per_round,AUC_PsiN_per_round,null_with_alt_local,total_with_alt_local,null_with_alt_global,total_with_alt_global,N,E0,strategy,seed
121,482,3000,387.15911365966866,2417.7764234651313,0.1477935737790615,0.931975955232079,2809,20,2962,77,2885,-1.6323299154892744e-07,0.9363333333333334,0.12905303788655623,0.8059254744883771,0,70,2801,2818,60,1.0,mincost,5
170,471,3000,365.0313420001974,2130.3970584320937,0.13723870106405262,0.9071842709939059,2908,19,3021,92,2929,-2.4420364930203313e-07,0.9693333333333334,0.1216771140000658,0.7101323528106979,0,83,1990,2008,60,1.0,mincost,6
103,634,3000,335.84899187317467,3257.813164571824,0.12402333989071582,1.0643828323818594,2828,18,2988,81,2907,-1.7584740763648503e-07,0.9426666666666667,0.11194966395772489,1.0859377215239414,0,66,2898,2907,60,1.0,mincost,7
157,881,3000,168.62780208641547,5371.863992313015,0.10443376576315172,1.3123766066914746,2724,28,2965,120,2845,-1.6393482913769509e-07,0.908,0.05620926736213849,1.790621330771005,0,110,2831,2845,60,1.0,mincost,8
136,522,3000,276.76785152973486,2767.9584763049634,0.11608231371829572,0.9960126660204687,2808,21,2950,83,2867,-1.0547684878428327e-07,0.936,0.09225595050991162,0.9226528254349878,0,74,2848,2867,60,1.0,mincost,9
107,573,3000,246.17671234232034,7111.23602780673,0.12673095005235752,1.5000841745473048,2863,29,2993,126,2867,-1.3592585785218291e-07,0.9543333333333334,0.08205890411410678,2.37041200926891,0,115,1986,2006,60,1.0,mincost,10
95,499,1266,123.47292232531534,910.5991890217527,0.12265855597927587,0.9625256330564315,1077,22,1198,91,1107,-2.0165315853804047e-07,0.8507109004739336,0.09752995444337705,0.7192726611546231,0,80,1100,1107,60,1.0,mincost,11
92,398,3000,341.7890943054754,2112.734424377903,0.12433717506404025,0.8641978065533735,2816,18,2951,70,2881,-4.531305349668078e-07,0.9386666666666666,0.11392969810182513,0.7042448081259677,0,66,2862,2881,60,1.0,mincost,12
129,684,3000,215.8795660950264,4533.395856131968,0.10631911034790749,1.228028409274831,2740,19,2942,87,2855,-2.50669452078786e-07,0.9133333333333333,0.0719598553650088,1.5111319520439892,0,79,2844,2855,60,1.0,mincost,13
132,488,3000,326.99093884224357,1834.383361066139,0.11907368320229729,0.8125383177556035,2833,17,2954,76,2878,-1.037912703422081e-07,0.9443333333333334,0.10899697961408118,0.6114611203553797,0,70,2873,2878,60,1.0,mincost,14
129,391,661,56.993730458558026,244.80341652810688,0.13417192916526705,0.7215123554120408,371,16,513,73,440,-3.496311820390937e-06,0.5612708018154312,0.08622349539872622,0.37035312636627366,0,59,334,440,60,1.0,eqopt,0
147,374,463,27.46858477914037,114.04749578742371,0.09935393238506779,0.6517343099347777,131,16,320,70,250,-1.3004302095018095e-05,0.28293736501079914,0.05932739693118871,0.2463228850700296,0,64,151,250,60,1.0,eqopt,1
127,361,417,27.071690194366273,95.30092087379373,0.12436836236774944,0.6528235681916116,138,14,283,77,206,-1.4502693783767148e-05,0.33093525179856115,0.06492012037018291,0.22853937859422957,0,70,90,206,60,1.0,eqopt,2
166,401,750,61.96825627637638,305.8272990672119,0.12012087645798945,0.8348547340470444,420,16,570,68,502,-8.899060819298969e-06,0.56,0.08262434170183518,0.4077697320896159,0,66,391,502,60,1.0,eqopt,3
170,284,284,10.68423881597812,19.157923894949977,0.10428649776263672,0.6147584763225399,23,8,120,43,77,-1.0336220120133904e-05,0.08098591549295775,0.03762055921119056,0.06745747850334499,0,40,34,77,60,1.0,eqopt,4
146,444,559,47.368224395705134,184.6077775124621,0.1537735863726081,0.7003187097919673,227,19,435,89,346,-7.0074528932900295e-06,0.40608228980322003,0.0847374318348929,0.33024647139975327,0,80,248,346,60,1.0,eqopt,5
169,312,312,14.605728137805249,30.31752778324251,0.11831325801040574,0.6197706395794608,46,8,177,46,131,-1.2469024096081081e-05,0.14743589743589744,0.04681323121091426,0.09717156340782857,0,43,71,131,60,1.0,eqopt,6
123,449,449,28.43892473097579,104.3768628160796,0.10628015588152172,0.6371765756330171,117,19,324,83,241,-1.4517780458252923e-05,0.26057906458797325,0.06333836242979017,0.2324651733097541,0,78,122,241,60,1.0,eqopt,7
204,610,677,44.16621175140422,260.24880095649837,0.10749914175807192,0.7104750573492279,239,20,495,98,397,-7.57755221367765e-06,0.35302806499261447,0.06523812666381716,0.3844147724615929,0,94,216,397,60,1.0,eqopt,8
136,493,534,34.34768451930825,129.6499506169685,0.11091369419728049,0.682976002519424,193,16,359,69,290,-5.988035917855996e-06,0.36142322097378277,0.06432150659046489,0.24279016969469758,0,58,143,290,60,1.0,eqopt,9
107,427,427,28.573724130861937,131.10735883391817,0.11714101955109715,0.6723472452709534,135,21,337,99,238,-1.6273708090717793e-05,0.3161592505854801,0.06691738672333006,0.3070429949272088,0,93,119,238,60,1.0,eqopt,10
110,392,413,23.875808098182045,62.68792015144457,0.11323851945305252,0.5953929322470444,79,11,261,58,203,-9.381559291765724e-06,0.19128329297820823,0.057810673361215606,0.1517867316015607,0,53,128,203,60,1.0,eqopt,11
119,294,294,13.128873338917256,28.01494841241304,0.11676271836724424,0.5876198531990278,22,10,140,48,92,-2.6603846594215795e-05,0.07482993197278912,0.04465603176502468,0.09528894017827565,0,45,24,92,60,1.0,eqopt,12
162,406,406,22.17538849033794,62.82637706221838,0.11762971172434523,0.6187748825444884,79,14,230,50,180,-1.4757068601289952e-05,0.19458128078817735,0.05461918347373877,0.15474477108920784,0,46,126,180,60,1.0,eqopt,13
145,350,350,16.158563566666952,38.92017460995136,0.09801904853465286,0.601473471621096,44,12,185,61,124,-1.998336057771415e-05,0.12571428571428572,0.04616732447619129,0.11120049888557532,0,58,50,124,60,1.0,eqopt,14
